i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, D, I.est, M.est, i.iter, d.est, i.est, m.est, d.sd, i.sd, m.sd, LL, maxgrad, m.start, d.start, i.start
1, 1979, 1, 67780, 0, 0, 0.938655494505494, 0.939480672764827, 0, 0, 67780, 0, 0, 0, 0, 63678, 0, 0, 1, 0.96091, 0, 0, 0.0052683, NA, NA, 1183.47, 4.43928e-05, 0, 0.939480672764827, 0
1, 1979, 2, 67780, 0.00017732762060234, 0.00519494478131969, 0.451869645500778, 0.455547391623806, 0.000243783520234032, 0.00438917337234821, 4102, 0, 18, 1, 18, 1860, 0, 18, 1, 0.29155, 2.9824e-07, 0.0087219, 0.069515, 1.1098e-07, 0.0015496, 1183.47, 4.43928e-05, 0.00438917337234821, 0.455547391623806, 0.000243783520234032
1, 1979, 3, 67780, 0.470274699055525, 0.184923939831733, 0.598404840737821, 0.594309799789252, 0.475033738191633, 0.186803770351328, 2223, 207, 218, 1056, 218, 564, 1035, 218, 1, 0.30819, 0.56298, 0.25701, 0.075025, 0.023339, 0.025059, 1183.47, 4.43928e-05, 0.186803770351328, 0.594309799789252, 0.475033738191633
1, 1979, 4, 67780, 0.825878427692629, 0.952095808383233, 0.2533993061295, 0.5, 0.8, 0.974025974025974, 385, 69, 75, 308, 75, 1, 345, 75, 1, 0.21695, 0.60206, 0.95187, 0.055325, 0.018961, 0.0059198, 1183.47, 4.43928e-05, 0.974025974025974, 0.5, 0.8
1, 1979, 5, 67780, 0.375, 1, NA, NA, 1, NA, 1, 1, 0, 1, 0, NA, 5, 0, 1, NA, 0.45507, 1, NA, 0.018167, NA, 1183.47, 4.43928e-05, NA, NA, 1
1, 1980, 1, 67780, 0, 0, 0.964292309891366, 0.965137208616111, 0, 0, 67780, 0, 0, 0, 0, 65417, 0, 0, 1, 0.98088, 0, 0, 0.0028768, NA, NA, 1183.47, 4.43928e-05, 0, 0.965137208616111, 0
1, 1980, 2, 67780, 0.00742961679029346, 0.0216168256336835, 0.598404840737821, 0.596774193548387, 0.00592467202708421, 0.0234142188165177, 2363, 6, 55, 14, 55, 1369, 30, 55, 1, 0.30819, 0.0056122, 0.0082078, 0.075025, 0.0011338, 0.0012623, 1183.47, 4.43928e-05, 0.0234142188165177, 0.596774193548387, 0.00592467202708421
1, 1980, 3, 67780, 0.151033615696943, 0.156927484159161, 0.2533993061295, 0.25, 0.156756756756757, 0.169230769230769, 925, 23, 132, 145, 132, 162, 115, 132, 1, 0.21695, 0.27928, 0.24383, 0.055325, 0.017881, 0.020061, 1183.47, 4.43928e-05, 0.169230769230769, 0.25, 0.156756756756757
1, 1980, 4, 67780, 0.494485558787111, 0.838507547707206, 0.190587845622456, 0.266666666666667, 0.510288065843621, 0.873949579831933, 486, 47, 208, 248, 208, 8, 235, 208, 1, 0.2122, 0.45507, 0.95187, 0.052529, 0.018167, 0.0059198, 1183.47, 4.43928e-05, 0.873949579831933, 0.266666666666667, 0.510288065843621
1, 1980, 5, 67780, 0.135802469135802, 1, NA, NA, 0.0909090909090909, 1, 22, 0, 20, 2, 20, NA, 0, 20, 1, NA, 0.60218, 1, NA, 0.015532, NA, 1183.47, 4.43928e-05, 1, NA, 0.0909090909090909
1, 1981, 1, 67780, 0, 0, 0.983700007647014, 0.983785777515491, 0, 0, 67780, 0, 0, 0, 0, 66681, 0, 0, 1, 0.98545, 0, 0, 0.0017734, NA, NA, 1183.47, 4.43928e-05, 0, 0.983785777515491, 0
1, 1981, 2, 67780, 0.00017732762060234, 0.00187656869414276, 0.2533993061295, 0.250457038391225, 0.000909918107370337, 0.00364298724954463, 1099, 0, 4, 1, 4, 274, 0, 4, 1, 0.21695, 0.0022242, 0.0040886, 0.055325, 0.00046071, 0.00070999, 1183.47, 4.43928e-05, 0.00364298724954463, 0.250457038391225, 0.000909918107370337
1, 1981, 3, 67780, 0.162064346313835, 0.127892301220025, 0.190587845622456, 0.206611570247934, 0.158536585365854, 0.123188405797101, 820, 24, 85, 130, 85, 125, 120, 85, 1, 0.2122, 0.19409, 0.12971, 0.052529, 0.014303, 0.01488, 1183.47, 4.43928e-05, 0.123188405797101, 0.206611570247934, 0.158536585365854
1, 1981, 4, 67780, 0.352789837594469, 0.993788819875776, 0.461318193158469, 0.4, 0.3625, 0.983660130718954, 480, 30, 301, 174, 301, 2, 150, 301, 1, 0.20449, 0.60218, 0.95187, 0.047526, 0.015532, 0.0059198, 1183.47, 4.43928e-05, 0.983660130718954, 0.4, 0.3625
1, 1981, 5, 67780, 0.00017732762060234, 1, NA, NA, 0, 1, 3, 0, 3, 0, 3, NA, 0, 3, 1, NA, 0.50913, 1, NA, 0.011561, NA, 1183.47, 4.43928e-05, 1, NA, 0
1, 1982, 1, 67780, 0, 0, 0.927440644995796, 0.930584243139569, 0, 0, 67780, 0, 0, 0, 0, 63075, 0, 0, 1, 0.93965, 0, 0, 0.0056423, NA, NA, 1183.47, 4.43928e-05, 0, 0.930584243139569, 0
1, 1982, 2, 67780, 0.000432087399496716, 0.00510869485127066, 0.190587845622456, 0.193147751605996, 0.00127523910733262, 0.00617152585656523, 4705, 1, 29, 6, 29, 902, 5, 29, 1, 0.2122, 0.001466, 0.016838, 0.052529, 0.00030785, 0.0022085, 1183.47, 4.43928e-05, 0.00617152585656523, 0.193147751605996, 0.00127523910733262
1, 1982, 3, 67780, 0.315561052561415, 0.372233944705946, 0.461318193158469, 0.461445051608986, 0.308386411889597, 0.367996930161167, 3768, 215, 959, 1162, 959, 760, 1075, 959, 1, 0.20449, 0.27936, 0.43777, 0.047526, 0.012232, 0.019769, 1183.47, 4.43928e-05, 0.367996930161167, 0.461445051608986, 0.308386411889597
1, 1982, 4, 67780, 0.556867476801976, 0.988006482982172, 0.364293424430591, 0.166666666666667, 0.541149943630214, 0.985257985257985, 887, 98, 401, 480, 401, 1, 490, 401, 1, 0.2521, 0.50913, 0.95187, 0.056641, 0.011561, 0.0059198, 1183.47, 4.43928e-05, 0.985257985257985, 0.166666666666667, 0.541149943630214
1, 1982, 5, 67780, 0.72972972972973, 1, NA, NA, 0.4, 1, 5, 0, 3, 2, 3, NA, 0, 3, 1, NA, 0.61939, 1, NA, 0.011668, NA, 1183.47, 4.43928e-05, 1, NA, 0.4
1, 1983, 1, 67780, 0, 0, 0.898807500686103, 0.8991295367365, 0, 0, 67780, 0, 0, 0, 0, 60943, 0, 0, 1, 0.93531, 0, 0, 0.0075381, NA, NA, 1183.47, 4.43928e-05, 0, 0.8991295367365, 0
1, 1983, 2, 67780, 0.00017732762060234, 0.00250389277079209, 0.461318193158469, 0.466187472495233, 0.000585051923358198, 0.00234157763793356, 6837, 1, 16, 4, 16, 3178, 5, 16, 1, 0.20449, 0.0022249, 0.0029067, 0.047526, 0.00042923, 0.00046884, 1183.47, 4.43928e-05, 0.00234157763793356, 0.466187472495233, 0.000585051923358198
1, 1983, 3, 67780, 0.195291847412556, 0.085782521811181, 0.364293424430591, 0.356278366111952, 0.203902170926079, 0.0873317224715223, 3639, 148, 253, 742, 253, 942, 740, 253, 1, 0.2521, 0.22346, 0.093997, 0.056641, 0.014261, 0.0085531, 1183.47, 4.43928e-05, 0.0873317224715223, 0.356278366111952, 0.203902170926079
1, 1983, 4, 67780, 0.559009081054184, 0.969574853919001, 0.527567710693972, 0.619047619047619, 0.552291421856639, 0.97244094488189, 1702, 220, 741, 940, 741, 13, 1100, 741, 1, 0.40263, 0.61939, 0.95187, 0.089663, 0.011668, 0.0059198, 1183.47, 4.43928e-05, 0.97244094488189, 0.619047619047619, 0.552291421856639
1, 1983, 5, 67780, 0.463576158940397, 1, NA, NA, 0.75, 1, 8, 0, 2, 6, 2, NA, 0, 2, 1, NA, 0.57928, 1, NA, 0.011978, NA, 1183.47, 4.43928e-05, 1, NA, 0.75
1, 1984, 1, 67780, 0, 0, 0.905105076142132, 0.905429330185896, 0, 0, 67780, 0, 0, 0, 0, 61370, 0, 0, 1, 0.92766, 0, 0, 0.011571, NA, NA, 1183.47, 4.43928e-05, 0, 0.905429330185896, 0
1, 1984, 2, 67780, 0.000267461204752251, 0.00973819244166448, 0.364293424430591, 0.363335435056747, 0.00046801872074883, 0.00983299516154206, 6410, 1, 63, 3, 63, 2305, 5, 63, 1, 0.2521, 0.001718, 0.0060118, 0.056641, 0.00036004, 0.0012811, 1183.47, 4.43928e-05, 0.00983299516154206, 0.363335435056747, 0.00046801872074883
1, 1984, 3, 67780, 0.273016593452313, 0.145676167824891, 0.527567710693972, 0.531889290012034, 0.276058430304531, 0.147400820793434, 4039, 225, 431, 1115, 431, 1326, 1125, 431, 1, 0.40263, 0.2906, 0.18493, 0.089663, 0.022253, 0.023848, 1183.47, 4.43928e-05, 0.147400820793434, 0.531889290012034, 0.276058430304531
1, 1984, 4, 67780, 0.560224455174214, 0.880811078140455, 0.624597664361772, 0.621212121212121, 0.582690659811482, 0.864476386036961, 1167, 150, 421, 680, 421, 41, 750, 421, 1, 0.26381, 0.57928, 0.95187, 0.060134, 0.011978, 0.0059198, 1183.47, 4.43928e-05, 0.864476386036961, 0.621212121212121, 0.582690659811482
1, 1984, 5, 67780, 0.612033195020747, 1, NA, NA, 0.44, 1, 25, 5, 14, 11, 14, NA, 25, 14, 1, NA, 0.52453, 1, NA, 0.017699, NA, 1183.47, 4.43928e-05, 1, NA, 0.44
1, 1985, 1, 67780, 0, 0, 0.935017078366353, 0.934730008852169, 0, 0, 67780, 0, 0, 0, 0, 63356, 0, 0, 1, 0.96438, 0, 0, 0.0073165, NA, NA, 1183.47, 4.43928e-05, 0, 0.934730008852169, 0
1, 1985, 2, 67780, 0.000322965468935768, 0.00226148866529766, 0.527567710693972, 0.520172257479601, 0.000678119349005425, 0.00203573852069668, 4424, 0, 9, 3, 9, 2295, 0, 9, 1, 0.40263, 0.0023315, 0.0038237, 0.089663, 0.00052558, 0.0006741, 1183.47, 4.43928e-05, 0.00203573852069668, 0.520172257479601, 0.000678119349005425
1, 1985, 3, 67780, 0.140335823236442, 0.0730722600845134, 0.624597664361772, 0.609841827768014, 0.129428436466698, 0.0737927292457949, 2117, 65, 136, 274, 136, 1041, 325, 136, 1, 0.26381, 0.26488, 0.12183, 0.060134, 0.017254, 0.013248, 1183.47, 4.43928e-05, 0.0737927292457949, 0.609841827768014, 0.129428436466698
