i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, I.est, M.est, D
1, 1979, 1, 67780, 0, 0, 0.995218135771064, 0.995218135771064, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 67455.8852425627
1, 1979, 2, 67780, 0.000332923347455494, 0.0051121052335622, 0.640661040785006, 0.640661040785006, 0.000332923347455494, 0.0051121052335622, 324.114757437288, 0.0215810740011495, 1.65635712416317, 0.107905370005747, 1.65635712416317, 0.107905370005747, 1.65635712416317, 206.517403587821
1, 1979, 3, 67780, 0.112807008303091, 0.164705614981731, 0.428598511885872, 0.428598511885872, 0.112807008303091, 0.164705614981731, 115.833091355299, 2.61335689965797, 16.9261877702849, 13.0667844982899, 16.9261877702849, 13.0667844982899, 16.9261877702849, 36.7909473006759
1, 1979, 4, 67780, 0.550246393202987, 0.948896315421268, 0.3600843267366, 0.3600843267366, 0.550246393202987, 0.948896315421268, 49.049171786048, 5.39782597297332, 20.9326924970477, 26.9891298648666, 20.9326924970477, 26.9891298648666, 20.9326924970477, 0.405940858386062
1, 1979, 5, 67780, 0.165812928134439, 1, NA, NA, 0.165812928134439, 1, 0.721408565747596, 0.023923773333575, 0.601789699079721, 0.119618866667875, 0.601789699079721, 0.119618866667875, 0.601789699079721, NA
1, 1980, 1, 67780, 0, 0, 0.994147148399322, 0.994147148399322, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 67383.293718506
1, 1980, 2, 67780, 0.000308407187467163, 0.0121953094441641, 0.428598511885872, 0.428598511885872, 0.000308407187467163, 0.0121953094441641, 396.706281493956, 0.0244694137052215, 4.83646380090221, 0.122347068526108, 4.83646380090221, 0.122347068526108, 4.83646380090221, 167.902382944727
1, 1980, 3, 67780, 0.266496157597592, 0.35005578819241, 0.3600843267366, 0.3600843267366, 0.266496157597592, 0.35005578819241, 223.845087679801, 11.9307711527526, 57.4760911026514, 59.653855763763, 57.4760911026514, 59.653855763763, 57.4760911026514, 38.4264496323897
1, 1980, 4, 67780, 0.165812928134439, 0.948896315421268, 0.361072357144815, 0.361072357144815, 0.165812928134439, 0.948896315421268, 68.2886911809968, 2.2646295686379, 54.0543941792158, 11.3231478431895, 54.0543941792158, 11.3231478431895, 54.0543941792158, 1.05113548869274
1, 1980, 5, 67780, 0.54315471484706, 1, NA, NA, 0.54315471484706, 1, 1.86001366989865, 0.202055038897087, 0.849738475413217, 1.01027519448544, 0.849738475413217, 1.01027519448544, 0.849738475413217, NA
1, 1981, 1, 67780, 0, 0, 0.939861245651321, 0.939861245651321, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 63703.7952302465
1, 1981, 2, 67780, 0.000798368249998793, 0.0184463832228995, 0.3600843267366, 0.3600843267366, 0.000798368249998793, 0.0184463832228995, 4076.20476975347, 0.650862493732961, 75.1312049829592, 3.25431246866481, 75.1312049829592, 3.25431246866481, 75.1312049829592, 1439.55205387973
1, 1981, 3, 67780, 0.0679028871617171, 0.479929112728195, 0.361072357144815, 0.361072357144815, 0.0679028871617171, 0.479929112728195, 2558.26719842212, 34.7427457807958, 1144.41663087878, 173.713728903979, 1144.41663087878, 173.713728903979, 1144.41663087878, 447.779131509632
1, 1981, 4, 67780, 0.54315471484706, 0.948896315421268, 0.330800332724195, 0.330800332724195, 0.54315471484706, 0.948896315421268, 792.357707129726, 86.0745648945833, 343.486121391247, 430.372824472917, 343.486121391247, 430.372824472917, 343.486121391247, 6.11939638163366
1, 1981, 5, 67780, 0.268522799608578, 1, NA, NA, 0.268522799608578, 1, 12.3793648839292, 0.66482834320176, 9.05522316792045, 3.3241417160088, 9.05522316792045, 3.3241417160088, 9.05522316792045, NA
1, 1982, 1, 67780, 0, 0, 0.893785251736156, 0.893785251736156, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 60580.7643626767
1, 1982, 2, 67780, 0.000181197619748885, 0.00594603976843877, 0.361072357144815, 0.361072357144815, 0.000181197619748885, 0.00594603976843877, 7199.23563732335, 0.260896872298868, 42.7991848859955, 1.30448436149434, 42.7991848859955, 1.30448436149434, 42.7991848859955, 2583.52036539537
