i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, D, I.est, M.est
1, 1979, 1, 67780, 0, 0, 0.995218135771064, 0.995411625848333, 0, 0, 67780, 0, 0, 0, 0, 67469, 0, 0
1, 1979, 2, 67780, 0.000332923347455494, 0.0051121052335622, 0.640661040785006, 0.607142857142857, 0, 0.00964630225080386, 311, 0, 3, 0, 3, 187, 0, 3
1, 1979, 3, 67780, 0.112807008303091, 0.164705614981731, 0.428598511885872, 0.532608695652174, 0.0826446280991736, 0.171171171171171, 121, 1, 19, 10, 19, 49, 5, 19
1, 1979, 4, 67780, 0.550246393202987, 0.948896315421268, 0.3600843267366, 0, 0.465116279069767, 0.869565217391304, 43, 5, 20, 20, 20, 0, 25, 20
1, 1979, 5, 67780, 0.165812928134439, 1, NA, NA, 0.333333333333333, 1, 3, 0, 2, 1, 2, NA, 0, 2
1, 1980, 1, 67780, 0, 0, 0.994147148399322, 0.993670699321334, 0, 0, 67780, 0, 0, 0, 0, 67351, 0, 0
1, 1980, 2, 67780, 0.000308407187467163, 0.0121953094441641, 0.428598511885872, 0.423529411764706, 0, 0.00932400932400932, 429, 0, 4, 0, 4, 180, 0, 4
1, 1980, 3, 67780, 0.266496157597592, 0.35005578819241, 0.3600843267366, 0.355932203389831, 0.257142857142857, 0.351648351648352, 245, 15, 64, 63, 64, 42, 75, 64
1, 1980, 4, 67780, 0.165812928134439, 0.948896315421268, 0.361072357144815, 0, 0.197368421052632, 0.934426229508197, 76, 3, 57, 15, 57, 0, 15, 57
1, 1980, 5, 67780, 0.54315471484706, 1, NA, NA, 0.5, 1, 4, 0, 2, 2, 2, NA, 0, 2
1, 1981, 1, 67780, 0, 0, 0.939861245651321, 0.940956034228386, 0, 0, 67780, 0, 0, 0, 0, 63778, 0, 0
1, 1981, 2, 67780, 0.000798368249998793, 0.0184463832228995, 0.3600843267366, 0.363404689092762, 0.00124937531234383, 0.01826369777333, 4002, 0, 73, 5, 73, 1426, 0, 73
1, 1981, 3, 67780, 0.0679028871617171, 0.479929112728195, 0.361072357144815, 0.37075928917609, 0.0688550840672538, 0.467755803955288, 2498, 31, 1088, 172, 1088, 459, 155, 1088
1, 1981, 4, 67780, 0.54315471484706, 0.948896315421268, 0.330800332724195, 0.266666666666667, 0.55198973042362, 0.95702005730659, 779, 84, 334, 430, 334, 4, 420, 334
1, 1981, 5, 67780, 0.268522799608578, 1, NA, NA, 0.181818181818182, 1, 11, 0, 9, 2, 9, NA, 0, 9
1, 1982, 1, 67780, 0, 0, 0.893785251736156, 0.894054293301859, 0, 0, 67780, 0, 0, 0, 0, 60599, 0, 0
1, 1982, 2, 67780, 0.000181197619748885, 0.00594603976843877, 0.361072357144815, 0.365689437508767, 0.000696281854894861, 0.00654960981047938, 7181, 3, 47, 5, 47, 2607, 15, 47
1, 1982, 3, 67780, 0.262031691166173, 0.188943314945336, 0.330800332724195, 0.324798829553767, 0.261609907120743, 0.181191973644804, 4522, 218, 605, 1183, 605, 888, 1090, 605
1, 1982, 4, 67780, 0.268522799608578, 0.948896315421268, 0.302489465753857, 0.25, 0.271939328277356, 0.949404761904762, 1846, 92, 1276, 502, 1276, 17, 460, 1276
1, 1982, 5, 67780, 0.144666698273007, 1, NA, NA, 0.156862745098039, 1, 51, 2, 43, 8, 43, NA, 10, 43
1, 1983, 1, 67780, 0, 0, 0.894606422185364, 0.898347595160814, 0, 0, 67780, 0, 0, 0, 0, 60890, 0, 0
1, 1983, 2, 67780, 0.00078274292623115, 0.00430596029934838, 0.330800332724195, 0.32987430575855, 0.00159651669085631, 0.00537868876290158, 6890, 3, 37, 11, 37, 2257, 15, 37
1, 1983, 3, 67780, 0.114214064063873, 0.140607463251634, 0.302489465753857, 0.31027496382055, 0.114285714285714, 0.149224328983009, 4585, 104, 606, 524, 606, 1072, 520, 606
1, 1983, 4, 67780, 0.144666698273007, 0.948896315421268, 0.57955039100955, 0.5625, 0.144775493075955, 0.952894995093229, 2383, 66, 1942, 345, 1942, 54, 330, 1942
1, 1983, 5, 67780, 0.205810941170267, 1, NA, NA, 0.119047619047619, 1, 42, 1, 37, 5, 37, NA, 5, 37
1, 1984, 1, 67780, 0, 0, 0.867017775331091, 0.86737975804072, 0, 0, 67780, 0, 0, 0, 0, 58791, 0, 0
1, 1984, 2, 67780, 0.000312496277048324, 0.0125457793054863, 0.302489465753857, 0.30725815554803, 0.000556235398820781, 0.013913624220837, 8989, 0, 125, 5, 125, 2722, 0, 125
1, 1984, 3, 67780, 0.0588085803718659, 0.358104384372718, 0.57955039100955, 0.576202118989405, 0.0581717451523546, 0.363148788927336, 6137, 70, 2099, 357, 2099, 2121, 350, 2099
1, 1984, 4, 67780, 0.205810941170267, 0.948896315421268, 0.319743408199062, 0.370967741935484, 0.223717948717949, 0.948802642444261, 1560, 69, 1149, 349, 1149, 23, 345, 1149
1, 1984, 5, 67780, 0.138022616030134, 1, NA, NA, 0.153846153846154, 1, 39, 1, 33, 6, 33, NA, 5, 33
1, 1985, 1, 67780, 0, 0, 0.836250514402097, 0.836662732369431, 0, 0, 67780, 0, 0, 0, 0, 56709, 0, 0
1, 1985, 2, 67780, 0.000156179842651483, 0.00920268866310625, 0.57955039100955, 0.577550834321145, 0.00027097823141541, 0.00912540657752078, 11071, 1, 101, 3, 101, 6334, 5, 101
1, 1985, 3, 67780, 0.0854985867775956, 0.27721744956105, 0.319743408199062, 0.32129963898917, 0.0815886034966544, 0.283901292596945, 4633, 68, 1208, 378, 1208, 979, 340, 1208
1, 1985, 4, 67780, 0.138022616030134, 0.948896315421268, 0.738294568304261, 0.805194805194805, 0.134429400386847, 0.956983240223464, 2068, 51, 1713, 278, 1713, 62, 255, 1713
1, 1985, 5, 67780, 0.134230720061338, 1, NA, NA, 0.0666666666666667, 1, 15, 0, 14, 1, 14, NA, 0, 14
1, 1986, 1, 67780, 0, 0, 0.987118277959303, 0.986972558276778, 0, 0, 67780, 0, 0, 0, 0, 66897, 0, 0
